! year          LOD
! [a]           [ms]
  1964.322      2.263
  1964.324      2.152
  1964.327      2.060
  1964.330      1.988
  1964.333      1.958
  1964.335      1.987
  1964.338      2.056
  1964.341      2.172
  1964.344      2.356
  1964.346      2.546
  1964.349      2.735
  1964.352      2.842
  1964.355      2.851
  1964.357      2.733
  1964.360      2.524
  1964.363      2.284
  1964.366      2.067
  1964.368      1.946
  1964.371      1.929
  1964.374      1.998
  1964.376      2.121
  1964.379      2.256
  1964.382      2.360
  1964.385      2.415
  1964.387      2.405
  1964.390      2.352
  1964.393      2.268
  1964.396      2.146
  1964.398      2.016
  1964.401      1.877
  1964.404      1.780
  1964.407      1.732
  1964.409      1.731
  1964.412      1.779
  1964.415      1.872
  1964.418      1.998
  1964.420      2.143
  1964.423      2.284
  1964.426      2.392
  1964.428      2.434
  1964.431      2.358
  1964.434      2.171
  1964.437      1.909
  1964.439      1.630
  1964.442      1.423
  1964.445      1.310
  1964.448      1.289
  1964.450      1.333
  1964.453      1.410
  1964.456      1.457
  1964.459      1.448
  1964.461      1.380
  1964.464      1.258
  1964.467      1.124
  1964.470      0.963
  1964.472      0.812
  1964.475      0.680
  1964.478      0.593
  1964.480      0.540
  1964.483      0.543
  1964.486      0.615
  1964.489      0.753
  1964.491      0.944
  1964.494      1.141
  1964.497      1.351
  1964.500      1.528
  1964.502      1.661
  1964.505      1.712
  1964.508      1.647
  1964.511      1.499
  1964.513      1.306
  1964.516      1.132
  1964.519      1.045
  1964.522      1.065
  1964.524      1.164
  1964.527      1.309
  1964.530      1.406
  1964.533      1.454
  1964.535      1.450
  1964.538      1.381
  1964.541      1.263
  1964.543      1.136
  1964.546      0.998
  1964.549      0.858
  1964.552      0.753
  1964.554      0.688
  1964.557      0.676
  1964.560      0.724
  1964.563      0.831
  1964.565      0.996
  1964.568      1.180
  1964.571      1.385
  1964.574      1.554
  1964.576      1.669
  1964.579      1.711
  1964.582      1.672
  1964.585      1.569
  1964.587      1.426
  1964.590      1.271
  1964.593      1.180
  1964.595      1.188
  1964.598      1.286
  1964.601      1.448
  1964.604      1.606
  1964.606      1.718
  1964.609      1.741
  1964.612      1.664
  1964.615      1.521
  1964.617      1.348
  1964.620      1.159
  1964.623      0.975
  1964.626      0.806
  1964.628      0.677
  1964.631      0.621
  1964.634      0.624
  1964.637      0.697
  1964.639      0.825
  1964.642      0.992
  1964.645      1.180
  1964.648      1.354
  1964.650      1.480
  1964.653      1.524
  1964.656      1.500
  1964.658      1.394
  1964.661      1.248
  1964.664      1.117
  1964.667      1.039
  1964.669      1.058
  1964.672      1.166
  1964.675      1.364
  1964.678      1.594
  1964.680      1.802
  1964.683      1.944
  1964.686      1.998
  1964.689      1.962
  1964.691      1.877
  1964.694      1.772
  1964.697      1.654
  1964.700      1.546
  1964.702      1.477
  1964.705      1.462
  1964.708      1.497
  1964.710      1.593
  1964.713      1.737
  1964.716      1.929
  1964.719      2.147
  1964.721      2.359
  1964.724      2.503
  1964.727      2.581
  1964.730      2.555
  1964.732      2.426
  1964.735      2.243
  1964.738      2.067
  1964.741      1.931
  1964.743      1.890
  1964.746      1.948
  1964.749      2.090
  1964.752      2.280
  1964.754      2.470
  1964.757      2.614
  1964.760      2.671
  1964.762      2.654
  1964.765      2.555
  1964.768      2.410
  1964.771      2.247
  1964.773      2.094
  1964.776      1.974
  1964.779      1.904
  1964.782      1.885
  1964.784      1.940
  1964.787      2.044
  1964.790      2.199
  1964.793      2.382
  1964.795      2.588
  1964.798      2.761
  1964.801      2.866
  1964.804      2.856
  1964.806      2.733
  1964.809      2.523
  1964.812      2.294
  1964.815      2.099
  1964.817      1.990
  1964.820      1.974
  1964.823      2.061
  1964.825      2.203
  1964.828      2.355
  1964.831      2.476
  1964.834      2.525
  1964.836      2.517
  1964.839      2.437
  1964.842      2.293
  1964.845      2.139
  1964.847      1.982
  1964.850      1.837
  1964.853      1.746
  1964.856      1.711
  1964.858      1.741
  1964.861      1.832
  1964.864      1.965
  1964.867      2.148
  1964.869      2.345
  1964.872      2.551
  1964.875      2.707
  1964.877      2.784
  1964.880      2.749
  1964.883      2.596
  1964.886      2.385
